,EAN,amount,brand,capacity,category,description,extras,image_url,ingredients,origin,price,seller,storage,title,url,weight
42,, 2 l             ,Garden, 2 l             ,napoje,"woda, soki odtworzone z zagęszczonych soków z figi kaktusowej (10%), 
cytryn (9%), limetek (1%), syrop glukozowo-fruktozowy, kwas cytrynowy 
i cytrynian trisodowy - regulatory kwasowości, kompleksy miedziowe 
chlorofilin, kurkumina i B-katoren - barwniki, pektyna - stabilizator, 
aromaty, substancje słodzące: E-950, E-952 i E-954.							","{'nutritional': '', 'package': ' karton \xa0\xa0                  '}",['http://www.swiadomezakupy.pl/uploads/products/940/229.png'],,,,Swiadome zakupy,,kaktus limonka 2L,"http://www.swiadomezakupy.pl/products/view/237
",
43, 5900500028625, 1 l             ,Hortex, 1 l             ,napoje,"<div class=""ingredients""><h4>Składniki</h4><div>woda, sok ananasowy 
(20%) wyprodukowany z zagęszczonego soku, cukier, syrop 
glukozowo-fruktozowy, regulator kwasowości- kwas cytrynowy, cytrynian 
sodu, kwas mlekowy, stabilizator- pektyna, aromaty, ekstrakt kokosa 
(0,1%), mleko, śmietana</div></div>","{'nutritional': '', 'package': ' karton \xa0\xa0          '}",['http://www.swiadomezakupy.pl/uploads/products/940/3157.jpg'],,,,Swiadome zakupy,,Ananas Kokos napój,"http://www.swiadomezakupy.pl/products/view/3126
",
44, 5902403034017, 5 l             ,Ustronianka, 5 l             ,napoje, ,"{'nutritional': '', 'package': ' butelka z tworzywa sztucznego \xa0\xa0          '}",['http://www.swiadomezakupy.pl/uploads/products/940/4547.jpg'],,,,Swiadome zakupy,,Naturalna woda  źródlana niegazowana ,"http://www.swiadomezakupy.pl/products/view/4510
",
45, 5900541000383, 500 ml             ,Żywiec Zdrój, 500 ml             ,napoje, ,"{'nutritional': '', 'package': ' butelka z tworzywa sztucznego \xa0\xa0          '}",['http://www.swiadomezakupy.pl/uploads/products/940/3411.jpg'],,,,Swiadome zakupy,,ŻYWIEC ZDRÓJ Napój niegazowany o smaku truskawkowym ,"http://www.swiadomezakupy.pl/products/view/3383
",
46, 5900541000062, 500 ml             ,Żywiec Zdrój, 500 ml             ,napoje, ,"{'nutritional': '', 'package': ' butelka z tworzywa sztucznego \xa0\xa0          '}",['http://www.swiadomezakupy.pl/uploads/products/940/3399.jpg'],,,,Swiadome zakupy,,ŻYWIEC ZDRÓJ Naturalna woda źródlana niegazowana,"http://www.swiadomezakupy.pl/products/view/3371
",
47,, 1 l             ,Fortuna, 1 l             ,napoje,sok mandarynkowy odtworzony z zagęszczonego soku z mandarynek							,"{'nutritional': '', 'package': ' karton \xa0\xa0                  '}",['http://www.swiadomezakupy.pl/uploads/products/940/271.png'],,,,Swiadome zakupy,,sok 100% mandarynkowy 1L,"http://www.swiadomezakupy.pl/products/view/280
",
48, 5900500028809, 1 l             ,Hortex, 1 l             ,napoje,"<div class=""ingredients""><h4>Składniki</h4><div>przeciery: marchwiowy 
(22%), jabłkowy (11%), bananowy (8%), woda, cukier, regulator 
kwasowości- kwas cytrynowy, aromat, substancja wzbogacająca- witamina C</div></div>","{'nutritional': '', 'package': ' karton \xa0\xa0          '}",['http://www.swiadomezakupy.pl/uploads/products/940/3201.jpg'],,,,Swiadome zakupy,,Sok marchwiowo - jabłkowo - bananowy Witaminka,"http://www.swiadomezakupy.pl/products/view/3170
",
49, 4038375024204, 1 l             ,Natumi, 1 l             ,napoje,"<div class=""ingredients""><h4>Składniki</h4><div>woda, ziarno soi</div></div>","{'nutritional': '', 'package': ' karton \xa0\xa0          '}",['http://www.swiadomezakupy.pl/uploads/products/940/4809.jpg'],,,,Swiadome zakupy,,Soya Napój Sojowy Naturalny BIO ,"http://www.swiadomezakupy.pl/products/view/4770
",
50,, 1 l             ,Fortuna, 1 l             ,napoje,"sok odtworzony z soku zagęszczonego oraz przecier z: brzoskwiń (50%), 
woda, syrop glukozowo-fruktozowy, kwas cytrynowy - regulator kwasowości.							","{'nutritional': '', 'package': ' karton \xa0\xa0                  '}",['http://www.swiadomezakupy.pl/uploads/products/940/279.png'],,,,Swiadome zakupy,,nektar brzoskwiniowy 1L,"http://www.swiadomezakupy.pl/products/view/288
",
51,,  gram             ,Łowicz,  gram             ,napoje,"cukier, syrop glukozowo-fruktozowy, woda, zagęszczony sok wieloowocowy, 
65% zagęszczony sok truskawkowy (0,15%), antocyjany, karmel - barwniki, 
kwas cytrynowy - regulator kwasowości witamina C - substancja 
wzbogacająca, aromat.							","{'nutritional': '', 'package': ' butelka szklana \xa0\xa0                  '}",['http://www.swiadomezakupy.pl/uploads/products/940/344.png'],,,,Swiadome zakupy,,syrop truskawka 440ml,"http://www.swiadomezakupy.pl/products/view/353
",
