,EAN,amount,brand,capacity,category,description,extras,image_url,ingredients,origin,price,seller,storage,title,url,weight
36, 5907806527333, 700 ml             ,Z.KOZUBA I SYNOWIE, 700 ml             ,alkohol,Zawartość alkoholu: 40%							,"{'nutritional': '', 'package': ' butelka szklana \xa0\xa0          '}",['http://www.swiadomezakupy.pl/uploads/products/940/4214.jpg'],,,,Swiadome zakupy,,Whisky White Dog,"http://www.swiadomezakupy.pl/products/view/4187
",
37, 8000440217220, 700 ml             ,STOCK 84, 700 ml             ,alkohol, ,"{'nutritional': '', 'package': ' butelka szklana \xa0\xa0          '}",['http://www.swiadomezakupy.pl/uploads/products/940/4545.jpg'],,,,Swiadome zakupy,,VSOP Brandy,"http://www.swiadomezakupy.pl/products/view/4467
",
38, 5900014004504, 500 ml             ,Okocim, 500 ml             ,alkohol,2% alk							,"{'nutritional': '', 'package': ' puszka aluminiowa \xa0\xa0          '}",['http://www.swiadomezakupy.pl/uploads/products/940/3296.jpg'],,,,Swiadome zakupy,,Piwo Radler z limonką,"http://www.swiadomezakupy.pl/products/view/3267
",
39, 5010106113127, 700 ml             ,BALLANTINES, 700 ml             ,alkohol,Zawartość alkoholu: 40%							,"{'nutritional': '', 'package': ' butelka szklana \xa0\xa0          '}",['http://www.swiadomezakupy.pl/uploads/products/940/4191.jpg'],,,,Swiadome zakupy,,Blend Szkocka Whisky ,"http://www.swiadomezakupy.pl/products/view/4164
",
40, 8000570435402, 750 ml             ,Martini , 750 ml             ,alkohol,<h4>Szczegóły</h4>,"{'nutritional': '', 'package': ' butelka szklana \xa0\xa0          '}",['http://www.swiadomezakupy.pl/uploads/products/940/4173.jpg'],,,,Swiadome zakupy,,Asti Wino musujace białe słodkie,"http://www.swiadomezakupy.pl/products/view/4146
",
41,, 500 ml             ,Amber, 500 ml             ,alkohol,"<table align=""left"" border=""1"" cellpadding=""1"" cellspacing=""1""><tbody><tr><td><span style=""font-size: x-small;""><span style=""font-family: Verdana;"">Składniki</span></span></td>
<td><span style=""font-size: x-small;""><span style=""font-family: Verdana;"">woda, słód pszeniczny, słód jęczmienny, chmiel, drożdże<br/>
</span></span></td>
</tr>
<tr>
<td><span style=""font-size: x-small;""><span style=""font-family: Verdana;"">Metoda warzenia</span></span></td>
<td><span style=""font-size: x-small;""><span style=""font-family: Verdana;"">górna fermentacja<br/>
</span></span></td>
</tr>
<tr>
<td><span style=""font-size: x-small;""><span style=""font-family: Verdana;"">Pasteryzacja</span></span></td>
<td><span style=""font-size: x-small;""><span style=""font-family: Verdana;"">tak</span></span></td>
</tr>
<tr>
<td><span style=""font-size: x-small;""><span style=""font-family: Verdana;"">Styl</span></span></td>
<td><span style=""font-size: x-small;""><span style=""font-family: Verdana;"">pszeniczne<br/>
</span></span></td>
</tr>
<tr>
<td><span style=""font-size: x-small;""><span style=""font-family: Verdana;"">Kolor</span></span></td>
<td><span style=""font-size: x-small;""><span style=""font-family: Verdana;"">jasny, słomkowy</span></span></td>
</tr>
<tr>
<td><span style=""font-size: x-small;""><span style=""font-family: Verdana;"">Termin przydatności do spożycia      </span></span></td>
<td><span style=""font-size: x-small;""><span style=""font-family: Verdana;"">180 dni</span></span></td>
</tr>
<tr>
<td><span style=""font-size: x-small;""><span style=""font-family: Verdana;"">Ekstrakt</span></span></td>
<td><span style=""font-size: x-small;""><span style=""font-family: Verdana;"">12,1%</span></span></td>
</tr>
<tr>
<td><span style=""font-size: x-small;""><span style=""font-family: Verdana;"">Zawartość alkoholu</span></span></td>
<td><span style=""font-size: x-small;""><span style=""font-family: Verdana;"">5,2%</span></span></td></tr></tbody></table>","{'nutritional': '', 'package': ' butelka szklana \xa0\xa0                  '}",['http://www.swiadomezakupy.pl/uploads/products/940/580.jpg'],,,,Swiadome zakupy,,Pszeniczniak,"http://www.swiadomezakupy.pl/products/view/594
",
42,," 0,75 l             ",Jantoń," 0,75 l             ",alkohol,"<div class=""offer_data"">
<div class=""offer_data_item"">
<div class=""ofer_data_name"">Smak:czarna porzeczka
            </div></div>
<div class=""offer_data_item"">
<div class=""ofer_data_name"">Zawartość alkoholu:14%
            </div></div>
</div>","{'nutritional': '', 'package': ' butelka szklana \xa0\xa0                  '}",['http://www.swiadomezakupy.pl/uploads/products/940/1299.jpg'],,,,Swiadome zakupy,,wino Manhattan Black Currant,"http://www.swiadomezakupy.pl/products/view/1291
",
43, 5907506252276," 0,5 l             ",Browar Zamkowy," 0,5 l             ",alkohol,"<div class=""ingredients""><h4>Składniki</h4><div>woda, słód jasny jęczmienny, chmiel aromatyczny i goryczkowy.<br/>zaw. alk. 5%<br/></div></div>","{'nutritional': '', 'package': ' butelka szklana \xa0\xa0          '}",['http://www.swiadomezakupy.pl/uploads/products/940/3116.jpg'],,,,Swiadome zakupy,,Piwo Raciborskie jasne,"http://www.swiadomezakupy.pl/products/view/3084
",
44, 3024480006670, 700 gram             ,REMY MARTIN, 700 gram             ,alkohol,"Średni wiek koniaku Remy Martin VSOP to 8 lat. Zawiera setki składników 
liczących od 4 do 12 lat. Winogrona do produkcji destylatów, z których 
powstanie koniak Rémy Martin Extra pochodzą wyłącznie z dwóch rejonów 
Crus - Grande i Petite Champagne.","{'nutritional': '', 'package': ' butelka szklana \xa0\xa0          '}",['http://www.swiadomezakupy.pl/uploads/products/940/4325.jpg'],,,,Swiadome zakupy,,VSOP Koniak w kartoniku ,"http://www.swiadomezakupy.pl/products/view/4296
",
45,, 1 l             ,Jantoń, 1 l             ,alkohol,"<div class=""offer_data"">
<div class=""offer_data_item"">
<div class=""ofer_data_name"">Smak:półsłodkie/czerwone
            </div></div>
<div class=""offer_data_item"">
<div class=""ofer_data_name"">Zawartość alkoholu:11%
            </div></div>
</div>","{'nutritional': '', 'package': ' butelka szklana \xa0\xa0                  '}",['http://www.swiadomezakupy.pl/uploads/products/940/1296.jpg'],,,,Swiadome zakupy,,wino FINESE- czerwone półsłodkie,"http://www.swiadomezakupy.pl/products/view/1288
",
46, 3245995261518, 700 gram             ,HENNESSY, 700 gram             ,alkohol,"Kompozycja 60 eaux-de-vie, leżakujących w dębowych beczkach.","{'nutritional': '', 'package': ' butelka szklana \xa0\xa0          '}",['http://www.swiadomezakupy.pl/uploads/products/940/4318.jpg'],,,,Swiadome zakupy,,Koniak w kartoniku ,"http://www.swiadomezakupy.pl/products/view/4289
",
47, 7790189000979, 750 ml             ,MICHEL TORINO, 750 ml             ,alkohol,<h4>Szczegóły</h4>,"{'nutritional': '', 'package': ' butelka szklana \xa0\xa0          '}",['http://www.swiadomezakupy.pl/uploads/products/940/4185.jpg'],,,,Swiadome zakupy,,"Colección, Tannat wino wytrawne cerwone","http://www.swiadomezakupy.pl/products/view/4158
",
48, 5900533006126, 750 gram             ,Dorato, 750 gram             ,alkohol,<h4>Szczegóły</h4>,"{'nutritional': '', 'package': ' butelka szklana \xa0\xa0          '}",['http://www.swiadomezakupy.pl/uploads/products/940/4170.jpg'],,,,Swiadome zakupy,,Wino musujące czerwone półsłodkie,"http://www.swiadomezakupy.pl/products/view/4143
",
